0.0e0 0.0e0 0.0e0 0.0e0
1.3793e-1 0.0e0 3.713892e-1 3.713892e-1
2.7585999e-1 0.0e0 5.252237e-1 5.252237e-1
4.1378998e-1 0.0e0 6.43265e-1 6.43265e-1
5.5171997e-1 0.0e0 7.427785e-1 7.427785e-1
6.8964996e-1 0.0e0 8.304516e-1 8.304516e-1
8.2757996e-1 0.0e0 9.097142e-1 9.097142e-1
9.6550995e-1 0.0e0 9.826036e-1 9.826036e-1
1.10343994e0 0.0e0 1.050432e0 1.050432e0
1.24136993e0 0.0e0 1.114151e0 1.114151e0
1.3793e0 0.0e0 1.174417e0 1.174417e0
1.5172299e0 0.0e0 1.23174e0 1.23174e0
1.6551599e0 0.0e0 1.286511e0 1.286511e0
1.7930899e0 0.0e0 1.339043e0 1.339043e0
1.9310199e0 0.0e0 1.38959e0 1.38959e0
2.0689499e0 0.0e0 1.438362e0 1.438362e0
2.2068799e0 0.0e0 1.485535e0 1.485535e0
2.3448099e0 0.0e0 1.531255e0 1.531255e0
2.4827399e0 0.0e0 1.575647e0 1.575647e0
2.6206699e0 0.0e0 1.618823e0 1.618823e0
2.7585999e0 0.0e0 1.660878e0 1.660878e0
2.8965298e0 0.0e0 1.701894e0 1.701894e0
3.0344598e0 0.0e0 1.741943e0 1.741943e0
3.1723898e0 0.0e0 1.781094e0 1.781094e0
3.3103198e0 0.0e0 1.819402e0 1.819402e0
3.4482498e0 0.0e0 1.856918e0 1.856918e0
3.5861798e0 0.0e0 1.893692e0 1.893692e0
3.7241098e0 0.0e0 1.929767e0 1.929767e0
3.8620398e0 0.0e0 1.965178e0 1.965178e0
3.9999698e0 0.0e0 1.999962e0 1.999962e0

0.0e0 1.3793e-1 3.713892e-1 3.713892e-1
1.3793e-1 1.3793e-1 5.252237e-1 5.252237e-1
2.7585999e-1 1.3793e-1 6.43265e-1 6.43265e-1
4.1378998e-1 1.3793e-1 7.427785e-1 7.427785e-1
5.5171997e-1 1.3793e-1 8.304516e-1 8.304516e-1
